Store Name,Store Address,City,State,Pincode
Mangalore-MAK Mall,"Croma, MAK MALL, Kankanady, Mangalore, Karnataka - 575002",Mangalore,Karnataka,575002
Mysore-Double Road,"Croma, # 508, Vishwamanava Double Road, Kuvempunagar, Mysuru - 570023",Mysore,Karnataka,570023
Bhopal-DB Mall,"Croma, Unit No. 29A, DB City Mall, Opp MP NagarZone-1, Khasra 1511 & 1509, Arera Hills, Opp. MP Nagar Bhopal, Madhya Pradesh- 462004",Bhopal,Madhya Pradesh,462004
Bhopal-Arera Colony,"Croma,Plot bearing No. E-4/153, Ward No. 45, 10 No. Market, Arera Colony, Bhopal, Madhya Pradesh. PIN - 462016",Bhopal,Madhya Pradesh,462016
Gwalior-City Center,"Croma, C-1, Opposite Hotel Central Park, City Centre, Gwalior-474001",Gwalior,Madhya Pradesh,474001
Indore-Vijay Nagar Square,"Croma, Unit No. F 1 to F 11, First Floor, Apollo Premier, Vijay Nagar Square, Madhya Pradesh, Indore - 452010",Indore,Madhya Pradesh,452010
Indore-Aerodrum Road,"Space Tower, Part of Ground, Mezzanine & first floor, Plot No.114 part of khasra no.178/1 and 181, Tirupati Nagar Colony, Aerodrum Road, Indore, Madhya Pradesh. PIN - 452001.",Indore,Madhya Pradesh,452001
Aurangabad-Prozone Mall,"Croma,Prozon Mall.Unit No.G-67,Plot No.P- 80,MIDC Chikalthana Area,Airport Road - 431210",Aurangabad,Maharashtra,431210
Aurangabad-Waluj,"Croma, Plot no. P-142, MIDC, Waluj, Aurangabad ,Maharashtra-431136",Aurangabad,Maharashtra,431136
Baramati-Bhigwan Road,"Croma, 116/12, Lower Ground, Ground, First and Second Floor, G G Prime Square, Jalochi, Bhigwan Road, Baramati, Taluka, Pune, Maharashtra. PIN – 413102",Baramati,Maharashtra,413102
Kolhapur-StarBazaar,"Croma, Part Ground Floor, Ghatge Patil Automobiles, Plot No. 517 E, Old Pune Bangalore Road, Opp. Hotel Victor Palace, Kolhapur, Maharashtra. PIN – 416001.",Kolhapur,Maharashtra,416001
Mumbai-Juhu,"CROMA,Ground Floor,Vasundhara CHS Opp Utpal Shanghvi School,JVPD,Vile Parle(W) - 400049",Mumbai,Maharashtra,400049
Mumbai-Malad,"CROMA,Palm Spring Center Ground Floor,Malad Link Road - 400064",Mumbai,Maharashtra,400064
